Topic,Assignments,Due date,,
1. What is AI?,Elements of AI Ch. 1 & 2 Exercises,"Sunday, June 30, 2024, 11:59 PM",,
,AI Overview Quiz,"Sunday, June 30, 2024, 11:59 PM",,
,,,,
2. Problem Solving Again + Machine Learning,Elements of AI Ch. 3 Exercises,"Sunday, July 7, 2024, 11:59 PM",,
,Problem Solving - XC Quiz,"Sunday, July 7, 2024, 11:59 PM",,
,Problem solving + Bayes Quiz,"Sunday, July 7, 2024, 11:59 PM",,
,,,,
3. Machine Learning,Machine Learning Quiz,"Monday, July 15, 2024, 11:59 PM",,
,,,,
4. The History of AI + Midterm,Midterm Practice Quiz,No close date,,
,Midterm Quiz,"Thursday, July 18, 2024, 6:00 PM",,
,Midterm Quiz--Remote,"Thursday, July 18, 2024, 11:59 PM",,
,,,,
5. Neural Networks and Deep Learning,Elements of AI Ch. 5 Exercises,"Sunday, July 28, 2024, 11:59 PM",,
Neural Network Quiz,"Sunday, July 28, 2024, 11:59 PM",,,
,,,,
6. Generative AI and Prompt Engineering,Generative AI Exercises,"Monday, August 5, 2024, 11:59 PM",,
,Generative AI Quiz,"Monday, August 5, 2024, 11:59 PM",,
,,,,
7. Custom GPT Chatbots,Custom Chatbot ,"Monday, August 11, 2024, 11:59 PM",,
,Custom Chatbot Quiz,"Monday, August 11, 2024, 11:59 PM",,
,,,,
8. Social and ethical issues of AI,Final Quiz,"Thursday, August 15, 2024, 12:00 PM",,
